Entry_No,Posting_Date,Document_Type,Document_No,External_Document_No,Transaction_No,G_L_Account_No,Description,Amount,Debit_Amount,Credit_Amount,Source_Code,Source_Type,Source_No,Dimension_Set_ID,Global_Dimension_1_Code,Global_Dimension_2_Code,Business_Unit_Code,IC_Partner_Code,User_ID,Reversed,Reversed_by_Entry_No,Reversed_Entry_No
100,2026-01-31,,WB-2026-01,,100,I25005,Emol.Pack-Other,111200.0,111200.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
101,2026-01-31,,WB-2026-01,,101,I25009,Co.Contrib-Life Assurance,930285.58,930285.58,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
102,2026-01-31,,WB-2026-01,,102,I25024,Welfare-General,78120.0,78120.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
103,2026-01-31,,WB-2026-01,,103,I25026,Training EXTERNAL,78800.0,78800.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
104,2026-01-31,,WB-2026-01,,104,I25029,Other Staff Costs,-9534562.92,0,9534562.92,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
105,2026-01-31,,WB-2026-01,,105,I25044,Emol-Pack PRMF,96750.0,96750.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
106,2026-01-31,,WB-2026-01,,106,I25071,Prem-Cleaning,247500.0,247500.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
107,2026-01-31,,WB-2026-01,,107,I25072,Prem-Electricity,94139.28,94139.28,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
108,2026-01-31,,WB-2026-01,,108,I25073,Prem-Security,64942.0,64942.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
109,2026-01-31,,WB-2026-01,,109,I25074,Prem-Rates,452598.3,452598.3,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
110,2026-01-31,,WB-2026-01,,110,I25079,Prem-Rental(EXTERNAL),2118586.06,2118586.06,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
111,2026-01-31,,WB-2026-01,,111,I25080,Prem-Parking(EXTERNAL),347280.0,347280.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
112,2026-01-31,,WB-2026-01,,112,I25111,Printing-General,94366.26,94366.26,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
113,2026-01-31,,WB-2026-01,,113,I25114,Stationery-General,59929.2,59929.2,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
114,2026-01-31,,WB-2026-01,,114,I25141,Prof.Fees-Audit Fees,192500.0,192500.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
115,2026-01-31,,WB-2026-01,,115,I25145,Prof.Fees-Other,1462690.0,1462690.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
116,2026-01-31,,WB-2026-01,,116,I25181,Trav. Air Fares,528138.0,528138.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
117,2026-01-31,,WB-2026-01,,117,I25182,Trav. Accom.,1060735.9,1060735.9,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
118,2026-01-31,,WB-2026-01,,118,I25203,Bus.Advert-General,340307.68,340307.68,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
119,2026-01-31,,WB-2026-01,,119,I25205,Sponsorships-General,200000.0,200000.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
120,2026-01-31,,WB-2026-01,,120,I25232,Telephone-Variable,269312.22,269312.22,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
121,2026-01-31,,WB-2026-01,,121,I25236,Courier Services Cost,472.89,472.89,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
122,2026-01-31,,WB-2026-01,,122,I25262,S/ware Depreciation,783300.8,783300.8,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
123,2026-01-31,,WB-2026-01,,123,I25263,Bldg.Imp.(L/Hold)-Deprec,775516.02,775516.02,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
124,2026-01-31,,WB-2026-01,,124,I25264,Furn-Depreciation,271541.82,271541.82,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
125,2026-01-31,,WB-2026-01,,125,I25265,Equip-Depreciation,848194.89,848194.89,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
126,2026-01-31,,WB-2026-01,,126,I25268,Goodwill amortisation,65027.17,65027.17,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
