Entry_No,Posting_Date,Document_Type,Document_No,External_Document_No,Transaction_No,G_L_Account_No,Description,Amount,Debit_Amount,Credit_Amount,Source_Code,Source_Type,Source_No,Dimension_Set_ID,Global_Dimension_1_Code,Global_Dimension_2_Code,Business_Unit_Code,IC_Partner_Code,User_ID,Reversed,Reversed_by_Entry_No,Reversed_Entry_No
122,2026-02-28,,WB-2026-02,,122,B80201,Accrual audit fees,2065000.0,2065000.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
123,2026-02-28,,WB-2026-02,,123,I10021,Interest income,-857692.0,0,857692.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
124,2026-02-28,,WB-2026-02,,124,I10035,Sundry Income,-1533158.0,0,1533158.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
125,2026-02-28,,WB-2026-02,,125,I25360,Bank Charges,238416.0,238416.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
126,2026-02-28,,WB-2026-02,,126,I25381,Tenders,5000.0,5000.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
127,2026-03-31,,WB-2026-03,,127,1000,Brokerage Commission,-45979036.0,0,45979036.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
128,2026-03-31,,WB-2026-03,,128,1025,Actuarial Services Revenue,-15300597.0,0,15300597.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
129,2026-03-31,,WB-2026-03,,129,2010,Rent,2450875.0,2450875.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
130,2026-03-31,,WB-2026-03,,130,2025,Marketing expenses,625141.0,625141.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
131,2026-03-31,,WB-2026-03,,131,2030,Travelling & Accommodation,2837617.0,2837617.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
132,2026-03-31,,WB-2026-03,,132,2050,Office Expenses,94949.0,94949.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
133,2026-03-31,,WB-2026-03,,133,2070,Postage And Courier,1000.0,1000.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
134,2026-03-31,,WB-2026-03,,134,2090,Printing And Stationery,267034.0,267034.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
135,2026-03-31,,WB-2026-03,,135,2125,MEDICAL INSURANCE STAFF,2239459.0,2239459.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
136,2026-03-31,,WB-2026-03,,136,2170,Depreciation -All,1003836.0,1003836.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
137,2026-03-31,,WB-2026-03,,137,2180,Depreciation-Motor Vehicles,1564583.0,1564583.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
138,2026-03-31,,WB-2026-03,,138,2190,Depreciation- Furniture & Fittings,445975.0,445975.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
139,2026-03-31,,WB-2026-03,,139,2195,Depreciation- Software,377685.0,377685.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
140,2026-03-31,,WB-2026-03,,140,2380,staff entertainment & reception,230000.0,230000.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
