entity,period,statement,category_l1,category_l2,statement_line_code,line_label,line_order,dbt_kes,client_kes,difference,difference_pct,status,reason,note,client_as_stated_kes
C&P,2026-04,SFP,EQUITY AND LIABILITIES,Equity,retained_earnings,Retained earnings,450,133494468.71,133494469.71,-1.0,-0.0,tie,,,-133494469.71
C&P,2026-04,SFP,EQUITY AND LIABILITIES,Equity,net_profit,Net Profit (derived),460,8403551.28,8403551.28,-0.0,-0.0,tie,,,-8403551.28
C&P,2026-04,SFP,EQUITY AND LIABILITIES,Equity,non_controlling_interests,Non-controlling interests,470,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SFP,EQUITY AND LIABILITIES,Current Liabilities,trade_and_other_payables,Trade and other payables,480,6556688.25,6556688.25,0.0,0.0,tie,,,-6556688.25
C&P,2026-04,SFP,EQUITY AND LIABILITIES,Current Liabilities,premium_payable,Premium payable,500,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SFP,EQUITY AND LIABILITIES,Current Liabilities,borrowings,Borrowings,510,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SCI,INCOME,Revenue,actuarial_fees,Actuarial Fees,10,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SCI,INCOME,Revenue,pension_admin_fee,Pension Admin Fee,20,21132702.22,21132702.22,0.0,0.0,tie,,,-21132702.22
C&P,2026-05,SCI,INCOME,Revenue,insurance_commissions,Insurance Commissions,40,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SCI,INCOME,Revenue,saas_income,SAAS (Software as a Service),50,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SCI,INCOME,Other income,other_income,Other Income,70,179954.3,179954.3,0.0,0.0,tie,,,-179954.3
C&P,2026-05,SCI,EXPENSES,Operating expenses,personnel_costs,Personnel Costs,80,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SCI,EXPENSES,Operating expenses,travelling,Travelling,90,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SCI,EXPENSES,Operating expenses,entertainment,Entertainment,100,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SCI,EXPENSES,Operating expenses,it_costs,IT Costs,110,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SCI,EXPENSES,Operating expenses,communications,Communications,120,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SCI,EXPENSES,Operating expenses,printing_stationery,Printing & Stationery,130,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SCI,EXPENSES,Operating expenses,premises,Premises,140,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SCI,EXPENSES,Operating expenses,advertising_pr,Advertising & PR,150,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SCI,EXPENSES,Operating expenses,insurance,Insurance,160,1738975.4,1738975.4,0.0,0.0,tie,,,1738975.4
C&P,2026-05,SCI,EXPENSES,Operating expenses,professional_fees,Professional Fees,170,753316.65,753316.65,0.0,0.0,tie,,,753316.65
C&P,2026-05,SCI,EXPENSES,Operating expenses,depreciation,Depreciation,180,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SCI,EXPENSES,Operating expenses,motor_vehicle_expenses,Motor Vehicle Expenses,190,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SCI,EXPENSES,Operating expenses,general_expenses,General Expenses,200,2885655.85,2885655.85,-0.0,-0.0,tie,,,2885655.85
C&P,2026-05,SCI,EXPENSES,Operating expenses,management_expense,Management Expense,210,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SCI,EXPENSES,Finance costs,finance_costs,Finance cost,220,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SCI,EXPENSES,Taxation,taxation,Taxation,230,4780412.59,4780412.59,-0.0,-0.0,tie,,,4780412.59
C&P,2026-05,SFP,ASSETS,Non-Current Assets,ppe,"Property, Plant and Equipment",240,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SFP,ASSETS,Non-Current Assets,computer_software,Intangible - computer software,250,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SFP,ASSETS,Non-Current Assets,goodwill,Intangible - goodwill,260,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SFP,ASSETS,Non-Current Assets,investment_in_associate,Investment in associate,270,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SFP,ASSETS,Non-Current Assets,investment_unquoted_equity,Investment in unquoted equity securities,280,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SFP,ASSETS,Non-Current Assets,deposit_for_investment_in_subsidiary,Deposit for investment in subsidiary,290,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SFP,ASSETS,Non-Current Assets,deferred_tax,Deferred tax,310,4287361.0,4287361.0,0.0,0.0,tie,,,4287361.0
C&P,2026-05,SFP,ASSETS,Current Assets,trade_receivables,Trade Receivables (Debtors),320,51949586.47,51949586.47,0.0,0.0,tie,,,51949586.47
C&P,2026-05,SFP,ASSETS,Current Assets,premium_receivables,Premium Receivables,330,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SFP,ASSETS,Current Assets,other_receivables,Other Receivables,340,-8300765.14,-8300765.58,0.44,-0.0,tie,,,-8300765.58
C&P,2026-05,SFP,ASSETS,Current Assets,due_from_to_related_parties,Due from/to related parties,350,91376423.23,91376423.23,-0.0,-0.0,tie,,,91376423.23
C&P,2026-05,SFP,ASSETS,Current Assets,office_cash,Cash - Office Cash,360,6994261.83,6994261.83,0.0,0.0,tie,,,6994261.83
C&P,2026-05,SFP,ASSETS,Current Assets,deposits,Cash - Deposits,380,22284303.0,22284303.0,0.0,0.0,tie,,,22284303.0
C&P,2026-05,SFP,ASSETS,Current Assets,placements,Cash - Placements,390,0.0,0.44,-0.44,,tie,,,0.44
C&P,2026-05,SFP,ASSETS,Current Assets,tax_recoverable,Tax recoverable,400,-2172246.59,-2172246.59,0.0,-0.0,tie,,,-2172246.59
C&P,2026-05,SFP,ASSETS,Current Assets,accrued_income,Accrued Income,410,11077486.33,11077486.33,0.0,0.0,tie,,,11077486.33
C&P,2026-05,SFP,EQUITY AND LIABILITIES,Equity,share_capital,Share capital,420,25000000.0,25000000.0,0.0,0.0,tie,,,-25000000.0
C&P,2026-05,SFP,EQUITY AND LIABILITIES,Equity,translation_reserve,Translation reserve,430,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SFP,EQUITY AND LIABILITIES,Equity,proposed_dividend,Proposed dividend,440,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SFP,EQUITY AND LIABILITIES,Equity,retained_earnings,Retained earnings,450,133494468.71,133494469.71,-1.0,-0.0,tie,,,-133494469.71
C&P,2026-05,SFP,EQUITY AND LIABILITIES,Equity,net_profit,Net Profit (derived),460,11154296.03,11154296.03,0.0,0.0,tie,,,-11154296.03
C&P,2026-05,SFP,EQUITY AND LIABILITIES,Equity,non_controlling_interests,Non-controlling interests,470,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SFP,EQUITY AND LIABILITIES,Current Liabilities,trade_and_other_payables,Trade and other payables,480,7847644.39,7847644.39,0.0,0.0,tie,,,-7847644.39
C&P,2026-05,SFP,EQUITY AND LIABILITIES,Current Liabilities,premium_payable,Premium payable,500,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-05,SFP,EQUITY AND LIABILITIES,Current Liabilities,borrowings,Borrowings,510,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-06,SCI,INCOME,Revenue,actuarial_fees,Actuarial Fees,10,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-06,SCI,INCOME,Revenue,pension_admin_fee,Pension Admin Fee,20,25197334.54,25197334.54,0.0,0.0,tie,,,-25197334.54
C&P,2026-06,SCI,INCOME,Revenue,insurance_commissions,Insurance Commissions,40,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-06,SCI,INCOME,Revenue,saas_income,SAAS (Software as a Service),50,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-06,SCI,INCOME,Other income,other_income,Other Income,70,239128.1,239128.1,-0.0,-0.0,tie,,,-239128.1
C&P,2026-06,SCI,EXPENSES,Operating expenses,personnel_costs,Personnel Costs,80,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-06,SCI,EXPENSES,Operating expenses,travelling,Travelling,90,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-06,SCI,EXPENSES,Operating expenses,entertainment,Entertainment,100,2626573.05,0.0,2626573.05,,DIFFERENCE,client shows nothing,,0.0
C&P,2026-06,SCI,EXPENSES,Operating expenses,it_costs,IT Costs,110,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-06,SCI,EXPENSES,Operating expenses,communications,Communications,120,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-06,SCI,EXPENSES,Operating expenses,printing_stationery,Printing & Stationery,130,0.0,0.0,0.0,,tie,,,0.0
