period,period_end,entity,statement,section_group,line_label,row_type,statement_line_code,amount_client_basis,amount_presentation,source_tab,source_row,source_file
2026-04,2026-04-30,C&P,SCI,INCOME,Other Income,detail,other_income,0.0,-0.0,SCI Detailed,14,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAAC,SCI,INCOME,Total Income,total,,-445957717.6,-445957717.6,SCI Detailed,15,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAMRE,SCI,INCOME,Total Income,total,,-32789652.0,-32789652.0,SCI Detailed,15,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZARIB,SCI,INCOME,Total Income,total,,-853888196.88,-853888196.88,SCI Detailed,15,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MALAWI,SCI,INCOME,Total Income,total,,-74753385.22,-74753385.22,SCI Detailed,15,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MENA,SCI,INCOME,Total Income,total,,-25495883.85,-25495883.85,SCI Detailed,15,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,NIGERIA,SCI,INCOME,Total Income,total,,-29600436.69,-29600436.69,SCI Detailed,15,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,RWANDA,SCI,INCOME,Total Income,total,,-20856810.45,-20856810.45,SCI Detailed,15,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZHL,SCI,INCOME,Total Income,total,,-108739.63,-108739.63,SCI Detailed,15,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZATL,SCI,INCOME,Total Income,total,,-7502440.63,-7502440.63,SCI Detailed,15,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,DRC,SCI,INCOME,Total Income,total,,-22791627.94,-22791627.94,SCI Detailed,15,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,C&P,SCI,INCOME,Total Income,total,,-16772409.07,-16772409.07,SCI Detailed,15,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAAC,SCI,Personnel Costs,Emol.Pack-Salaries,detail,personnel_costs,248511187.95,248511187.95,SCI Detailed,19,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAMRE,SCI,Personnel Costs,Emol.Pack-Salaries,detail,personnel_costs,0.0,0.0,SCI Detailed,19,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZARIB,SCI,Personnel Costs,Emol.Pack-Salaries,detail,personnel_costs,118564257.31,118564257.31,SCI Detailed,19,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MALAWI,SCI,Personnel Costs,Emol.Pack-Salaries,detail,personnel_costs,12012818.6,12012818.6,SCI Detailed,19,April 2026 Consolidated Accounts.xlsx
