period,entity,statement,statement_line_code,line_label,category_l1,line_order,client_basis_kes,client_presentation_kes
2026-02,MALAWI,SFP,deposits,Cash - Deposits,ASSETS,380,42636623.92,42636623.92
2026-02,MALAWI,SFP,due_from_to_related_parties,Due from/to related parties,ASSETS,350,-45942147.78,-45942147.78
2026-02,MALAWI,SFP,goodwill,Intangible - goodwill,ASSETS,260,0.0,0.0
2026-02,MALAWI,SFP,investment_in_associate,Investment in associate,ASSETS,270,0.0,0.0
2026-02,MALAWI,SFP,investment_unquoted_equity,Investment in unquoted equity securities,ASSETS,280,0.0,0.0
2026-02,MALAWI,SFP,net_profit,Net Profit (derived),EQUITY AND LIABILITIES,460,-13136221.52,13136221.52
2026-02,MALAWI,SFP,non_controlling_interests,Non-controlling interests,EQUITY AND LIABILITIES,470,0.0,-0.0
2026-02,MALAWI,SFP,office_cash,Cash - Office Cash,ASSETS,360,3115542.84,3115542.84
2026-02,MALAWI,SFP,other_receivables,Other Receivables,ASSETS,340,8160388.4,8160388.4
2026-02,MALAWI,SFP,placements,Cash - Placements,ASSETS,390,0.0,0.0
2026-02,MALAWI,SFP,ppe,"Property, Plant and Equipment",ASSETS,240,13749387.61,13749387.61
2026-02,MALAWI,SFP,premium_payable,Premium payable,EQUITY AND LIABILITIES,500,0.0,-0.0
2026-02,MALAWI,SFP,premium_receivables,Premium Receivables,ASSETS,330,0.0,0.0
2026-02,MALAWI,SFP,proposed_dividend,Proposed dividend,EQUITY AND LIABILITIES,440,0.0,-0.0
2026-02,MALAWI,SFP,retained_earnings,Retained earnings,EQUITY AND LIABILITIES,450,-99312718.35,99312718.35
2026-02,MALAWI,SFP,share_capital,Share capital,EQUITY AND LIABILITIES,420,-824892.23,824892.23
2026-02,MALAWI,SFP,tax_recoverable,Tax recoverable,ASSETS,400,2020081.93,2020081.93
2026-02,MALAWI,SFP,trade_and_other_payables,Trade and other payables,EQUITY AND LIABILITIES,480,-29837579.26,29837579.26
2026-02,MALAWI,SFP,trade_receivables,Trade Receivables (Debtors),ASSETS,320,138770734.52,138770734.52
2026-02,MALAWI,SFP,translation_reserve,Translation reserve,EQUITY AND LIABILITIES,430,-29828826.65,29828826.65
2026-02,MENA,SCI,actuarial_fees,Actuarial Fees,INCOME,10,0.0,-0.0
2026-02,MENA,SCI,advertising_pr,Advertising & PR,EXPENSES,150,645146.25,645146.25
2026-02,MENA,SCI,communications,Communications,EXPENSES,120,0.0,0.0
2026-02,MENA,SCI,depreciation,Depreciation,EXPENSES,180,0.0,0.0
2026-02,MENA,SCI,entertainment,Entertainment,EXPENSES,100,0.0,0.0
2026-02,MENA,SCI,finance_costs,Finance cost,EXPENSES,220,0.0,0.0
2026-02,MENA,SCI,general_expenses,General Expenses,EXPENSES,200,11649.5,11649.5
2026-02,MENA,SCI,insurance,Insurance,EXPENSES,160,0.0,0.0
2026-02,MENA,SCI,insurance_commissions,Insurance Commissions,INCOME,40,0.0,-0.0
2026-02,MENA,SCI,it_costs,IT Costs,EXPENSES,110,383120.32,383120.32
2026-02,MENA,SCI,management_expense,Management Expense,EXPENSES,210,0.0,0.0
2026-02,MENA,SCI,motor_vehicle_expenses,Motor Vehicle Expenses,EXPENSES,190,0.0,0.0
